INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2025-01-01T04:00:00-00:00,2025-01-01T05:00:00-00:00,0,2024-12-31,21,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1913,ACTUAL,4
2025-01-01T02:00:00-00:00,2025-01-01T03:00:00-00:00,0,2024-12-31,19,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2046,ACTUAL,4
2025-01-01T07:00:00-00:00,2025-01-01T08:00:00-00:00,0,2024-12-31,24,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1693,ACTUAL,4
2025-01-01T03:00:00-00:00,2025-01-01T04:00:00-00:00,0,2024-12-31,20,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1976,ACTUAL,4
2025-01-01T06:00:00-00:00,2025-01-01T07:00:00-00:00,0,2024-12-31,23,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1764,ACTUAL,4
2025-01-01T05:00:00-00:00,2025-01-01T06:00:00-00:00,0,2024-12-31,22,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1842,ACTUAL,4
2025-01-01T00:00:00-00:00,2025-01-01T01:00:00-00:00,0,2024-12-31,17,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1951,ACTUAL,4
2025-01-01T00:00:00-00:00,2025-01-01T01:00:00-00:00,0,2024-12-31,17,0,ACTUAL,BANCMID,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,254,ACTUAL,5
2025-01-01T02:00:00-00:00,2025-01-01T03:00:00-00:00,0,2024-12-31,19,0,ACTUAL,BANCMID,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,269,ACTUAL,5
2025-01-01T03:00:00-00:00,2025-01-01T04:00:00-00:00,0,2024-12-31,20,0,ACTUAL,BANCMID,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,262,ACTUAL,5
2025-01-01T05:00:00-00:00,2025-01-01T06:00:00-00:00,0,2024-12-31,22,0,ACTUAL,BANCMID,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,244,ACTUAL,5
2025-01-01T04:00:00-00:00,2025-01-01T05:00:00-00:00,0,2024-12-31,21,0,ACTUAL,BANCMID,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,254,ACTUAL,5
2025-01-01T07:00:00-00:00,2025-01-01T08:00:00-00:00,0,2024-12-31,24,0,ACTUAL,BANCMID,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,227,ACTUAL,5
2025-01-01T01:00:00-00:00,2025-01-01T02:00:00-00:00,0,2024-12-31,18,0,ACTUAL,BANCMID,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,271,ACTUAL,5
2025-01-01T06:00:00-00:00,2025-01-01T07:00:00-00:00,0,2024-12-31,23,0,ACTUAL,BANCMID,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,237,ACTUAL,5
2025-01-01T05:00:00-00:00,2025-01-01T06:00:00-00:00,0,2024-12-31,22,0,ACTUAL,BANCRDNG,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,102,ACTUAL,6
2025-01-01T04:00:00-00:00,2025-01-01T05:00:00-00:00,0,2024-12-31,21,0,ACTUAL,BANCRDNG,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,108,ACTUAL,6
2025-01-01T03:00:00-00:00,2025-01-01T04:00:00-00:00,0,2024-12-31,20,0,ACTUAL,BANCRDNG,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,113,ACTUAL,6
2025-01-01T06:00:00-00:00,2025-01-01T07:00:00-00:00,0,2024-12-31,23,0,ACTUAL,BANCRDNG,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,97,ACTUAL,6
2025-01-01T02:00:00-00:00,2025-01-01T03:00:00-00:00,0,2024-12-31,19,0,ACTUAL,BANCRDNG,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,118,ACTUAL,6
