OPR_DT,OPR_HR,OPR_INTERVAL,INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,TRADING_HUB,RENEWABLE_TYPE,LABEL,XML_DATA_ITEM,MARKET_RUN_ID_POS,RENEW_POS,MW,MARKET_RUN_ID,GROUP
2024-12-31,23,0,2025-01-01T06:00:00-00:00,2025-01-01T07:00:00-00:00,SP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,39.90553,ACTUAL,4
2024-12-31,19,0,2025-01-01T02:00:00-00:00,2025-01-01T03:00:00-00:00,SP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,27.16926,ACTUAL,4
2024-12-31,21,0,2025-01-01T04:00:00-00:00,2025-01-01T05:00:00-00:00,SP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,32.46489,ACTUAL,4
2024-12-31,17,0,2025-01-01T00:00:00-00:00,2025-01-01T01:00:00-00:00,SP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,7.83895,ACTUAL,4
2024-12-31,20,0,2025-01-01T03:00:00-00:00,2025-01-01T04:00:00-00:00,SP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,29.42005,ACTUAL,4
2024-12-31,24,0,2025-01-01T07:00:00-00:00,2025-01-01T08:00:00-00:00,SP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,78.96604,ACTUAL,4
2024-12-31,22,0,2025-01-01T05:00:00-00:00,2025-01-01T06:00:00-00:00,SP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,27.18265,ACTUAL,4
2024-12-31,22,0,2025-01-01T05:00:00-00:00,2025-01-01T06:00:00-00:00,ZP26,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-8.01208,ACTUAL,5
2024-12-31,21,0,2025-01-01T04:00:00-00:00,2025-01-01T05:00:00-00:00,ZP26,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-7.99745,ACTUAL,5
2024-12-31,20,0,2025-01-01T03:00:00-00:00,2025-01-01T04:00:00-00:00,ZP26,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-7.98128,ACTUAL,5
