PNODE_ID,TAC_AREA_NAME,UNMATCHED_REASON,TRADING_HUB,PNODE_ID_LOWER,PNODE_ID_STRIPPED,PNODE_ID_LEN
DOVE_GNODEIT,NEVP,"in TAC map, not in hub map (load/intertie PNodes expected)",,dove_gnodeit,DOVE_GNODEIT,12
E TRACY_GNODET3,NEVP,"in TAC map, not in hub map (load/intertie PNodes expected)",,e tracy_gnodet3,E TRACY_GNODET3,15
FT CHUR_GNODE 1,NEVP,"in TAC map, not in hub map (load/intertie PNodes expected)",,ft chur_gnode 1,FT CHUR_GNODE 1,15
KING BCH_GNODE 1,NEVP,"in TAC map, not in hub map (load/intertie PNodes expected)",,king bch_gnode 1,KING BCH_GNODE 1,16
GDSPR HR_GNODEIT,NEVP,"in TAC map, not in hub map (load/intertie PNodes expected)",,gdspr hr_gnodeit,GDSPR HR_GNODEIT,16
OLDMLSLR_7_GNODER1,PAC,"in TAC map, not in hub map (load/intertie PNodes expected)",,oldmlslr_7_gnoder1,OLDMLSLR_7_GNODER1,18
SMILFORD_NODE1,PAC,"in TAC map, not in hub map (load/intertie PNodes expected)",,smilford_node1,SMILFORD_NODE1,14
BLDRSLR_GNODE1,NEVP,"in TAC map, not in hub map (load/intertie PNodes expected)",,bldrslr_gnode1,BLDRSLR_GNODE1,14
PAROWANC_NODE2,PAC,"in TAC map, not in hub map (load/intertie PNodes expected)",,parowanc_node2,PAROWANC_NODE2,14
WCEDAR_GNODE3,PAC,"in TAC map, not in hub map (load/intertie PNodes expected)",,wcedar_gnode3,WCEDAR_GNODE3,13
CH_GNODECHST1,AZPS,"in TAC map, not in hub map (load/intertie PNodes expected)",,ch_gnodechst1,CH_GNODECHST1,13
CTL_GNODEHYD,AZPS,"in TAC map, not in hub map (load/intertie PNodes expected)",,ctl_gnodehyd,CTL_GNODEHYD,12
SG_GNODESGCT3,AZPS,"in TAC map, not in hub map (load/intertie PNodes expected)",,sg_gnodesgct3,SG_GNODESGCT3,13
CCR_GNODECCS,AZPS,"in TAC map, not in hub map (load/intertie PNodes expected)",,ccr_gnodeccs,CCR_GNODECCS,12
SW_GNODESADDLEMT,AZPS,"in TAC map, not in hub map (load/intertie PNodes expected)",,sw_gnodesaddlemt,SW_GNODESADDLEMT,16
WP_GNODEWPCC3,AZPS,"in TAC map, not in hub map (load/intertie PNodes expected)",,wp_gnodewpcc3,WP_GNODEWPCC3,13
PRNX_GNODERANCH,AZPS,"in TAC map, not in hub map (load/intertie PNodes expected)",,prnx_gnoderanch,PRNX_GNODERANCH,15
YU_GNODEYUGT5,AZPS,"in TAC map, not in hub map (load/intertie PNodes expected)",,yu_gnodeyugt5,YU_GNODEYUGT5,13
YU_GNODEYUST1,AZPS,"in TAC map, not in hub map (load/intertie PNodes expected)",,yu_gnodeyust1,YU_GNODEYUST1,13
PLAYASLR_GNODEPV,NEVP,"in TAC map, not in hub map (load/intertie PNodes expected)",,playaslr_gnodepv,PLAYASLR_GNODEPV,16
CHAUTAUQ_GNODE1,PAC,"in TAC map, not in hub map (load/intertie PNodes expected)",,chautauq_gnode1,CHAUTAUQ_GNODE1,15
FD3_GNODEGEN3,PSEI,"in TAC map, not in hub map (load/intertie PNodes expected)",,fd3_gnodegen3,FD3_GNODEGEN3,13
FR1_GNODEGEN1,PSEI,"in TAC map, not in hub map (load/intertie PNodes expected)",,fr1_gnodegen1,FR1_GNODEGEN1,13
SHB_GNODETTL,PSEI,"in TAC map, not in hub map (load/intertie PNodes expected)",,shb_gnodettl,SHB_GNODETTL,12
WH2_GNODEGEN2,PSEI,"in TAC map, not in hub map (load/intertie PNodes expected)",,wh2_gnodegen2,WH2_GNODEGEN2,13
WELS_PSE_GNODEGN1,PSEI,"in TAC map, not in hub map (load/intertie PNodes expected)",,wels_pse_gnodegn1,WELS_PSE_GNODEGN1,17
MCCULLGX_5_N501,AZPS,"in TAC map, not in hub map (load/intertie PNodes expected)",,mccullgx_5_n501,MCCULLGX_5_N501,15
MALIN_5_N101,PSEI,"in TAC map, not in hub map (load/intertie PNodes expected)",,malin_5_n101,MALIN_5_N101,12
ARROWHE_7_GNODE1,PAC,"in TAC map, not in hub map (load/intertie PNodes expected)",,arrowhe_7_gnode1,ARROWHE_7_GNODE1,16
SNN_GNODEGEN,PSEI,"in TAC map, not in hub map (load/intertie PNodes expected)",,snn_gnodegen,SNN_GNODEGEN,12
